id,amazonBiomeArea_ha_25Sites,forestArea_1995_ha_25Sites,forestArea_2017_ha_25Sites,theta_25Sites,thetaSD_25Sites,gamma_25Sites,gammaSD_25Sites,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,b_25Sites,z_1995_25Sites,zbar_1995_25Sites,x_1995_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,gamma2010_25Sites,gamma2017_25Sites,gamma2018_25Sites,a_25Sites,k_25Sites,zeta_25Sites,zeta_alt_25Sites,rho_25Sites,r_25Sites,theta2017_25Sites,theta2006_25Sites,thetaProfit2017_25Sites,thetaProfit2006_25Sites,p_2017_25Sites,p_2017_alt_25Sites
1,835019.24706884,827007.3445222054,827265.5800701508,0.009565399189165168,0.007165890232455008,516.8855712660554,22.01380318324668,577.0929400978703,827842.6730102487,427601641.9433046,19258669.424009915,844.8093136857351,827852.1538358912,427468163.71458364,1,1,0.42932145455667936,0.21894615014596533,491.4680240694094,529.3321398483572,529.8565498803996,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.014632448765772549,0.004498349612557786,-1.6427876612278751,1.135166377489454,44.758760469833035,43.34917824284919
2,5983815.8727424415,5915978.035826258,5918368.32325191,0.009571445310425128,0.0071744407391405975,488.95668786037106,12.306508434932484,5589.185180833704,5923957.508432743,2893825772.8749914,130366613.92938201,5418.676485287174,5921396.712311545,2892657025.852311,0,0,13203.684043737227,15890.10263296048,474.81433042700644,497.230132990658,494.82560016344877,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.014644541008292471,0.004498349612557786,1.5890889122593284,1.9259175458712807,44.758760469833035,43.34917824284919
3,21167120.751716275,16035738.780155277,15481629.502034862,0.14553405443941558,0.018122881763816434,535.7933371978481,23.344793840409476,787674.0828325496,16269303.58486741,8294953936.155918,392328928.3088873,271019.0558836985,16306757.836038975,8591841995.452347,0,0,657968.1829671777,1019451.8917082429,508.8589984879194,550.2014890953416,548.3195240102835,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.13271924184957895,0.1583488670292522,2.812934879325353,4.463917263192011,44.758760469833035,43.34917824284919
4,8842695.163339837,8300092.306773948,8307459.240169194,1.2220861734603066,0.08629465079358264,614.384762285207,32.19887998692394,9646.86174464566,8317106.10191384,5103976370.465396,229983531.20283216,10191.917448815513,8310284.224222763,5099450238.842587,0,0,72379.60404612012,116488.11200548601,577.2209483461448,633.9185476815397,632.0147908279363,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.161066640704039,1.2831057062165738,2.6505394292274986,5.624994762619503,44.758760469833035,43.34917824284919
5,13137913.82653348,11344707.958892148,11364087.944410058,1.4383826863711546,0.3632883336713606,697.3408596340032,33.05522160361185,128634.50305749544,11492722.447467552,7924642856.111322,360704940.9790129,84274.64524978033,11428982.604141928,7911128400.350569,0,0,263886.0062106,453165.2751069393,659.4281652767247,720.1206058491772,712.4738077761077,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.6952663306361349,1.1814990421061744,3.9154216356242064,10.229310970497284,44.758760469833035,43.34917824284919
6,3741019.2315529953,3630264.734758855,3625744.465382131,0.4101962194080943,0.51189943129291,594.3844076490544,20.865073626717365,16248.65368515371,3641993.1190672847,2155085976.342995,97429525.88828304,16582.060745840346,3646846.7955046953,2157772753.9788938,0,0,735.5605754504047,571.5543281987076,570.2943142144638,606.1103208788273,606.7485878538721,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.04822866025534042,0.7721637785608482,-1.4538396214274032,-1.3706830172921078,44.758760469833035,43.34917824284919
7,28939360.5,27921953.76698534,27864744.22980033,0.6033195436983435,0.6639596832913174,540.1896966796447,10.448797341711279,77127.05958015787,27941871.289380487,15052247733.55172,679337899.8736719,61927.124465827255,27983880.891451165,15083151736.090874,0,0,9713.601213210153,5451.497869469931,528.3341565643539,548.0570523423097,544.1778811322707,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.13382914920858055,1.0728099381881064,-0.4618962224389657,-0.3730540662647346,44.758760469833035,43.34917824284919
8,28939360.5,26051629.69054895,25617910.732513636,1.1298286504649373,0.6102361170926706,502.09011583461455,7.972106752906201,413615.3758627868,26031526.108376425,12862499767.128588,588254640.1345257,188282.21130612583,26239911.901855074,13080265769.008205,0,0,158471.42854174282,174329.30604920554,492.9083938373519,507.2523540759416,506.1095995905501,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.6983265539437619,1.5613307469861126,1.5315012399285526,2.7431782478184172,44.758760469833035,43.34917824284919
9,28939360.5,25596087.14585167,25078486.645422757,1.6803092270607123,0.4050951979004329,586.1378961789981,16.356500862662113,1415637.311141416,26494123.956564173,14699451401.701193,698929586.6959021,937833.4460142598,26533920.59186593,15002836670.083794,0,0,560236.6483517044,784071.5843242478,567.2755883553936,596.402793544123,594.7353066374775,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.3938636655992096,1.9667547885222147,2.3729314518076507,4.583765393814529,44.758760469833035,43.34917824284919
10,28922502.584513273,24831588.616439566,22907943.082298495,1.95535797461807,0.29090205048129175,622.9287015297532,18.893560989768126,2975490.4028124437,25883433.48511094,14270015238.973694,725678552.0731106,1156831.1257173251,25988419.742156893,15468309253.759699,0,0,1408059.4153096734,2182829.264264778,601.113786845024,633.6153199091177,634.0569978351178,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.7496591620616773,2.161056787174463,2.6684465432265907,5.5536514561990495,44.758760469833035,43.34917824284919
